code_udi,sentence,population
001000676,Votre réseau alimente de façon permanente 19872 personnes.,19872
001000677,Votre réseau alimente de façon permanente 19695 personnes.,19695
001000685,Votre réseau alimente de façon permanente 3367 personnes.,3367
001000686,Votre réseau alimente de façon permanente 14260 personnes.,14260
001000687,Votre réseau alimente de façon permanente 4066 personnes.,4066
001000691,Votre réseau alimente de façon permanente 17678 personnes.,17678
001000711,Votre réseau alimente de façon permanente 740 personnes.,740
001000712,Votre réseau alimente de façon permanente 31 personnes.,31
001000715,Votre réseau alimente de façon permanente 192 personnes.,192
001000721,Votre réseau alimente de façon permanente 2044 personnes.,2044
001000726,Votre réseau alimente de façon permanente 136 personnes.,136
001000731,Votre réseau alimente de façon permanente 1628 personnes.,1628
001000732,Votre réseau alimente de façon permanente 68 personnes.,68
001000735,Votre réseau alimente de façon permanente 1357 personnes.,1357
001000736,Votre réseau alimente de façon permanente 268 personnes.,268
001000739,Votre réseau alimente de façon permanente 5104 personnes.,5104
001000741,Votre réseau alimente de façon permanente 1009 personnes.,1009
001000742,Votre réseau alimente de façon permanente 726 personnes.,726
001000743,Votre réseau alimente de façon permanente 213 personnes.,213
001000744,Votre réseau alimente de façon permanente 192 personnes.,192
001000746,Votre réseau alimente de façon permanente 668 personnes.,668
001000751,Votre réseau alimente de façon permanente 3453 personnes.,3453
001000753,Votre réseau alimente de façon permanente 632 personnes.,632
001000757,Votre réseau alimente de façon permanente 4077 personnes.,4077
001000758,Votre réseau alimente de façon permanente 2574 personnes.,2574
001000759,Votre réseau alimente de façon permanente 1622 personnes.,1622
001000761,Votre réseau alimente de façon permanente 2435 personnes.,2435
001000763,Votre réseau alimente de façon permanente 2730 personnes.,2730
001000765,Votre réseau alimente de façon permanente 2485 personnes.,2485
001000783,Votre réseau alimente de façon permanente 1133 personnes.,1133
001000792,Votre réseau alimente de façon permanente 5583 personnes.,5583
001000806,Votre réseau alimente de façon permanente 11914 personnes.,11914
001000814,Votre réseau alimente de façon permanente 840 personnes.,840
001000823,Votre réseau alimente de façon permanente 319 personnes.,319
001000824,Votre réseau alimente de façon permanente 29 personnes.,29
001000825,Votre réseau alimente de façon permanente 65 personnes.,65
001000829,Votre réseau alimente de façon permanente 3541 personnes.,3541
001000830,Votre réseau alimente de façon permanente 3034 personnes.,3034
001000831,Votre réseau alimente de façon permanente 2538 personnes.,2538
001000846,Votre réseau alimente de façon permanente 67 personnes.,67
001000847,Votre réseau alimente de façon permanente 146 personnes.,146
001000848,Votre réseau alimente de façon permanente 337 personnes.,337
001000849,Votre réseau alimente de façon permanente 573 personnes.,573
001000850,Votre réseau alimente de façon permanente 26252 personnes.,26252
001000859,Votre réseau alimente de façon permanente 521 personnes.,521
001000860,Votre réseau alimente de façon permanente 107 personnes.,107
001000862,Votre réseau alimente de façon permanente 86 personnes.,86
001000865,Votre réseau alimente de façon permanente 57 personnes.,57
001000870,Votre réseau alimente de façon permanente 1386 personnes.,1386
001000871,Votre réseau alimente de façon permanente 7 personnes.,7
001000874,Votre réseau alimente de façon permanente 157 personnes.,157
001000879,Votre réseau alimente de façon permanente 67 personnes.,67
001000880,Votre réseau alimente de façon permanente 11 personnes.,11
001000881,Votre réseau alimente de façon permanente 274 personnes.,274
001000890,Votre réseau alimente de façon permanente 467 personnes.,467
001000891,Votre réseau alimente de façon permanente 30 personnes.,30
001000892,Votre réseau alimente de façon permanente 5 personnes.,5
001000895,Votre réseau alimente de façon permanente 492 personnes.,492
001000903,Votre réseau alimente de façon permanente 14044 personnes.,14044
001000904,Votre réseau alimente de façon permanente 1000 personnes.,1000
001000914,Votre réseau alimente de façon permanente 605 personnes.,605
001000915,Votre réseau alimente de façon permanente 191 personnes.,191
001000922,Votre réseau alimente de façon permanente 82 personnes.,82
001000925,Votre réseau alimente de façon permanente 267 personnes.,267
001000927,Votre réseau alimente de façon permanente 685 personnes.,685
001000954,Votre réseau alimente de façon permanente 132 personnes.,132
